Período,Resíduo PARp,El Nino Forte,El Nino Médio,El Nino Fraco,La Nina Forte,La Nina Medio/Fraco,Manchas Solares,SOI,ENA,delta_ena,residuo_desp
Nov-45,0.74,0.00,0.00,0.00,0.00,0.00,46.00,-3.40,2613,-5435.45,-2423.457984
Dec-45,1.46,0.00,0.00,0.00,0.00,0.00,27.40,6.70,2943,-5105.45,-1249.206448
Jan-46,0.60,0.00,0.00,0.00,0.00,0.00,47.60,-2.50,7867,-181.45,2920.575
Feb-46,-0.72,0.00,0.00,0.00,0.00,0.00,86.20,4.40,18690,10641.55,10373.64842
Mar-46,0.89,0.00,0.00,0.00,0.00,0.00,76.60,-2.00,12658,4609.55,1142.955738
Apr-46,-0.32,0.00,0.00,0.00,0.00,0.00,75.70,-9.60,5371,-2677.45,-4542.9417
May-46,-0.23,0.00,0.00,0.00,0.00,0.00,84.90,-11.40,5071,-2977.45,-2235.43446
Jun-46,0.03,0.00,0.00,0.00,0.00,0.00,73.50,-9.60,8596,547.55,1381.682375
Jul-46,0.91,0.00,0.00,0.00,0.00,0.00,116.20,-10.20,14746,6697.55,6347.709
Aug-46,-0.77,0.00,0.00,0.00,0.00,0.00,107.20,-4.40,5869,-2179.45,-4709.252947
Sep-46,-0.54,0.00,0.00,0.00,0.00,0.00,94.40,-16.00,5112,-2936.45,-3522.044377
Oct-46,-0.39,0.00,0.00,0.00,0.00,0.00,102.30,-12.30,9438,1389.55,203.1685266
Nov-46,-0.50,0.00,0.00,0.00,0.00,0.00,123.80,-1.40,5902,-2146.45,-1482.492819
Dec-46,-0.71,0.00,1.00,0.00,0.00,0.00,121.70,-5.50,7783,-265.45,2293.201736
Jan-47,0.38,0.00,1.00,0.00,0.00,0.00,115.70,-4.90,5985,-2063.45,-794.2125
Feb-47,0.28,0.00,1.00,0.00,0.00,0.00,133.40,-4.10,8344,295.55,1274.869916
Mar-47,2.52,0.00,1.00,0.00,0.00,0.00,129.80,11.60,5992,-2056.45,-642.150936
Apr-47,-0.12,0.00,1.00,0.00,0.00,0.00,149.80,-4.60,3186,-4862.45,-2425.011534
May-47,-0.63,0.00,1.00,0.00,0.00,0.00,201.30,-13.70,3839,-4209.45,-1849.094688
Jun-47,-0.39,0.00,1.00,0.00,0.00,0.00,163.90,2.60,7623,-425.45,1144.042375
Jul-47,-0.18,0.00,1.00,0.00,0.00,0.00,157.90,9.40,5924,-2124.45,-1428.351354
Aug-47,0.28,0.00,1.00,0.00,0.00,0.00,188.80,7.20,7454,-594.45,20.17529528
Sep-47,0.65,0.00,1.00,0.00,0.00,0.00,169.40,11.70,15032,6983.55,5477.80742
Oct-47,0.01,0.00,1.00,0.00,0.00,0.00,163.60,-1.90,12364,4315.55,-1672.419785
Nov-47,-0.77,0.00,1.00,0.00,0.00,0.00,128.00,9.20,5149,-2899.45,-3488.072136
Dec-47,0.59,0.00,0.00,0.00,0.00,0.00,116.50,5.20,6641,-1407.45,1448.274464
Jan-48,-0.36,0.00,0.00,0.00,0.00,0.00,108.50,-3.00,4555,-3493.45,-1791.7875
Feb-48,-0.01,0.00,0.00,0.00,0.00,0.00,86.10,-2.70,7360,-688.45,1238.648524
Mar-48,0.39,0.00,0.00,0.00,0.00,0.00,94.80,-4.10,6248,-1800.45,78.077826
Apr-48,-0.25,0.00,0.00,0.00,0.00,0.00,189.70,2.80,6341,-1707.45,564.73362
May-48,-0.65,0.00,0.00,0.00,0.00,0.00,174.00,3.60,10394,2345.55,2369.13768
Jun-48,0.17,0.00,0.00,0.00,0.00,0.00,167.80,-4.70,5938,-2110.45,-4453.636375
Jul-48,-0.39,0.00,0.00,0.00,0.00,0.00,142.20,0.90,6885,-1163.45,-2028.852414
Aug-48,0.41,0.00,0.00,0.00,0.00,0.00,157.90,-4.40,14826,6777.55,7049.82257
Sep-48,-0.53,0.00,0.00,0.00,0.00,0.00,143.30,-7.60,4924,-3124.45,-8909.3863
Oct-48,-0.29,0.00,0.00,0.00,0.00,0.00,136.30,6.10,6432,-1616.45,-2711.844836
Nov-48,-0.03,0.00,0.00,0.00,0.00,0.00,95.80,4.60,7155,-893.45,1057.310211
Dec-48,1.03,0.00,0.00,0.00,1.00,0.00,138.00,-5.50,2256,-5792.45,-3728.09696
Jan-49,-0.76,0.00,0.00,0.00,1.00,0.00,119.10,-7.30,2488,-5560.45,-2198.325
Feb-49,0.97,0.00,0.00,0.00,1.00,0.00,182.30,2.00,1418,-6630.45,-3333.379098
Mar-49,-0.62,0.00,0.00,0.00,1.00,0.00,157.50,5.60,3193,-4855.45,-173.6711856
Apr-49,-0.53,0.00,0.00,0.00,1.00,0.00,147.00,1.20,5709,-2339.45,1904.652684
May-49,-0.06,0.00,0.00,0.00,1.00,0.00,106.20,-5.80,4146,-3902.45,-3410.77212
Jun-49,-0.14,0.00,0.00,0.00,1.00,0.00,121.70,-12.00,7506,-542.45,843.793375
Jul-49,-0.28,0.00,0.00,0.00,1.00,0.00,125.80,-1.70,4436,-3612.45,-2967.300828
Aug-49,-0.27,0.00,0.00,0.00,1.00,0.00,123.80,-4.40,4639,-3409.45,-2264.430826
Sep-49,-0.19,0.00,0.00,0.00,1.00,0.00,145.30,2.00,6743,-1305.45,-1177.049013
Oct-49,-0.24,0.00,0.00,0.00,1.00,0.00,131.60,5.40,5544,-2504.45,-4480.326335
Nov-49,-0.19,0.00,0.00,0.00,1.00,0.00,143.50,-6.00,2628,-5420.45,-3089.515242
Dec-49,-0.09,0.00,0.00,0.00,1.00,0.00,117.60,7.70,1978,-6070.45,-2220.124704
Jan-50,-0.51,0.00,0.00,0.00,1.00,0.00,101.60,5.10,5235,-2813.45,653.9625
